PHAS2901,PHAS2201,PHAS2246,PHAS2440,PHAS2228,PHAS2441,PHAS2224,MATH6202,PHAS2222,PHAS2112,PHAS2130,PHAS2117,PHAS2443,PHAS2423,08GL064U,COMP210P,PHAS2427,0,MPHY2001
80,40,41,80,42,84,0,47,44,,,,,,,,,,
81,54,74,60,84,55,51,40,78,,,,,,,,,,
74,64,65,64,60,65,46,49,74,,,,,,,,,,
72,43,54,70,34,50,0,11,52,,,,,,,,,,
67,60,69,63,81,46,44,,64,,,,,,,,,,
78,85,88,0,87,0,78,,85,,,,,,,,,,
76,67,75,,79,,41,,79,,,,,,,,,,
72,75,68,,74,,41,,69,,,,,,,,,,
68,27,49,,33,,61,,26,,,,,,,,,,
67,38,59,,45,,62,,59,,,,,,,,,,
71,50,47,,36,,86,,47,,,,,,,,,,
71,63,67,,67,,67,,79,,,,,,,,,,
72,58,76,,68,,61,,79,,,,,,,,,,
58,57,80,,61,,30,,72,,,,,,,,,,
59,40,56,,43,,51,,47,,,,,,,,,,
68,58,75,,66,,68,,50,,,,,,,,,,
68,59,72,,59,,51,,77,,,,,,,,,,
80,29,55,,50,,56,,42,,,,,,,,,,
84,85,93,,97,,0,,95,,,,,,,,,,
59,63,82,,0,,54,,77,,,,,,,,,,
66,71,68,,75,,68,,71,,,,,,,,,,
76,29,60,,46,,58,,51,,,,,,,,,,
40,0,25,,0,,89,,0,,,,,,,,,,
71,43,44,,55,,43,,40,,,,,,,,,,
63,62,70,,69,,91,,58,,,,,,,,,,
66,44,73,,50,,76,,59,,,,,,,,,,
71,46,43,,35,,77,,47,,,,,,,,,,
73,41,51,,56,,76,,53,,,,,,,,,,
49,78,79,,50,,54,,68,,,,,,,,,,
67,62,90,,74,,63,,91,,,,,,,,,,
65,64,81,,86,,0,,76,,,,,,,,,,
68,59,64,,68,,40,,71,,,,,,,,,,
72,35,40,,40,,25,,33,,,,,,,,,,
77,52,58,,64,,0,,63,,,,,,,,,,
65,57,65,,61,,60,,51,,,,,,,,,,
68,49,55,,57,,0,,72,,,,,,,,,,
77,43,77,,53,,,,62,,,,,,,,,,
66,0,50,,0,,,,0,,,,,,,,,,
72,38,49,,52,,,,52,,,,,,,,,,
66,47,23,,0,,,,31,,,,,,,,,,
58,72,73,,51,,,,56,,,,,,,,,,
85,67,83,,75,,,,73,,,,,,,,,,
75,43,56,,73,,,,58,,,,,,,,,,
80,77,90,,89,,,,74,,,,,,,,,,
61,57,76,,60,,,,65,,,,,,,,,,
73,78,95,,99,,,,94,,,,,,,,,,
73,84,89,,77,,,,83,,,,,,,,,,
70,73,87,,80,,,,76,,,,,,,,,,
70,72,79,,74,,,,82,,,,,,,,,,
73,77,64,,61,,,,67,,,,,,,,,,
71,81,80,,68,,,,84,,,,,,,,,,
68,0,0,,0,,,,0,,,,,,,,,,
